,Institution,Subject,Degree_type_and_admission_semester,Accept_or_reject,Method_of_communication,Date,GPA,GRE_Verbal,GRE_Quantitative,GRE_Writing,GRE_Subject,Student_classification,Date_posted,Comments,American,Papers,Research,Decision
653,University Of Rochester (NY),Physics And Astronomy,PhD (F18),Accepted, E-mail,13 Feb 2018,3.54,159.0,169.0,4.0,910.0,I,17 Apr 2018,,0,0.0,0.0,1
654,Rice ï¼µniversity,Physics And Astronomy,PhD (F18),Rejected, E-mail,17 Apr 2018,3.54,159.0,169.0,4.0,910.0,I,17 Apr 2018,Rice never replied to any email enquiries.,0,0.0,0.0,0
655,Columbia University,Applied Physics,PhD (F18),Rejected, E-mail,17 Apr 2018,3.78,160.0,164.0,4.5,610.0,A,17 Apr 2018,Applied for Plasma Physics track. Congratulations to everyone who was admitted!,1,0.0,0.0,0
656,Michigan State University,Physics And Astronomy,PhD (F18),Rejected, E-mail,15 Apr 2018,3.9,155.0,166.0,5.0,820.0,I,15 Apr 2018,Email to check the website. Took them awhile to send that rejection..,0,0.0,0.0,0
658,Duke University,"""Physics""",PhD (F18),Other, Website,13 Apr 2018,4.0,162.0,168.0,4.5,950.0,I,13 Apr 2018,"Please can someone explain to me what does this mean ?
Are they offering me a spot next term (Spring/Fall 19) or does this mean if, someone drops decides not to go they will inform me? Or is it just a more polite way of saying that I am rejected, in that case this would be my 11th rejection. 
""We have reviewed your application to the Physics program and are impressed by your credentials. While we cannot offer you admission at this time, your application is sufficiently strong to allow for the possibility of admission at a later date. Your name has therefore been placed on an alternate list from which we will choose if vacancies occur. 

If a vacancy should occur, we will notify you promptly by email. In the meantime, please inform us if you make other plans for the next year by logging into your Applicant Self-Service account and declining your spot on the alternate list. We appreciate having had the opportunity to review your application and wish you all the best.""",0,0.0,0.0,0
660,UC Irvine,Physics And Astronomy,PhD (F18),Rejected, E-mail,12 Apr 2018,3.4,163.0,160.0,4.5,610.0,A,12 Apr 2018,about time,1,0.0,0.0,0
661,"The University Of California, Los Angeles (UCLA)","""Physics""",PhD (F18),Rejected, E-mail,11 Apr 2018,3.56,155.0,164.0,4.5,860.0,U,12 Apr 2018,"Nucl-th, notified via e-mail to check status online.",0,0.0,0.0,0
662,Northwestern University,Physics And Astronomy,PhD (F18),Rejected, E-mail,11 Apr 2018,3.79,160.0,170.0,4.5,840.0,I,11 Apr 2018,applying for Astronomy. The email is same as below.,0,0.0,0.0,0
663,The University Of Iowa,Physics & Astronomy,PhD (F18),Accepted, E-mail,11 Apr 2018,3.97,150.0,157.0,3.5,700.0,I,11 Apr 2018,Accepted from waitlist! Received email from PoI. Astronomy track.,0,0.0,0.0,1
665,(CUNY) Graduate Center,"""Physics""",PhD (F18),Accepted, E-mail,11 Apr 2018,3.8,156.0,165.0,4.0,710.0,I,11 Apr 2018,"Accepted off the waitlist!!! field: Hep-th (String/Cosmology)
YASSSSSSSS",0,0.0,0.0,1
666,Montana State University,"""Physics""",PhD (F18),Accepted, Website,9 Apr 2018,3.64,165.0,162.0,5.0,760.0,A,10 Apr 2018,Accepted to program yesterday but will decline offer.,1,0.0,0.0,1
667,University Of Texas At Austin (UT Austin),"""Physics""",PhD (F18),Rejected, Website,10 Apr 2018,3.1,164.0,168.0,4.5,960.0,I,10 Apr 2018,They sent me an email to check my website. Can't say I'm not upset,0,0.0,0.0,0
668,The University Of South Dakota,"""Physics""  Hep-ex",PhD (F18),Accepted, E-mail,20 Mar 2018,2.72,161.0,167.0,3.0,730.0,U,10 Apr 2018,"It seems they are short in funding this year, the stipend is 1883/month for 9.  Declined and going to Texas. Hope that helps someone on the waitlist.",0,0.0,0.0,1
669,Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â Â University Of Florida (Gainesville),"""Physics""",PhD (F18),Accepted, E-mail,2 Mar 2018,3.5,160.0,170.0,4.0,970.0,I,9 Apr 2018,"To the poster below - find the GRE scores, fyi",0,0.0,0.0,1
670,University Of Central Florida (UCF),"""Physics""",PhD (F18),Accepted, E-mail,5 Apr 2018,3.71,144.0,163.0,3.5,830.0,I,7 Apr 2018,"No financial aid, yet",0,0.0,0.0,1
672,IIT (Illinois Institute Of Technology),"""Physics""",PhD (F18),Rejected, Website,7 Apr 2018,3.71,144.0,163.0,3.5,830.0,I,7 Apr 2018,,0,0.0,0.0,0
673,Northwestern University,Applied Physics,PhD (F18),Rejected, E-mail,6 Apr 2018,3.65,151.0,165.0,3.0,700.0,A,6 Apr 2018,Double Major Math (MGPA 3.64) and Physics (PGPA 3.75) with 1 paper and another one on the way. Guess the PGRE really matter a lot.,1,1.0,0.0,0
674,University Of Wisconsin - Madison,"""Physics""",PhD (F18),Rejected, E-mail,5 Apr 2018,3.71,161.0,161.0,4.5,720.0,A,5 Apr 2018,rejected upon inquiry,1,0.0,0.0,0
675,UCLA,"""Physics""",PhD (F18),Rejected, E-mail,4 Apr 2018,3.5,154.0,170.0,4.0,970.0,I,4 Apr 2018,"4rd rej, I am so sad.",0,0.0,0.0,0
676,University Of Texas At San Antonio (UTSA),Physics,PhD (F18),Wait listed, E-mail,3 Apr 2018,3.38,163.0,158.0,3.0,635.0,A,4 Apr 2018,"Generic e-mail for those on the waitlist. Should have a definite answer in about two weeks, per the e-mail. My top choice for attending, so my fingers are crossed!",1,0.0,0.0,0
678,University Of Colorado Colorado Springs (UCCS),Physics,PhD (F18),Accepted, E-mail,4 Apr 2018,3.52,146.0,149.0,4.5,570.0,A,4 Apr 2018,3.675 MS (physics) GPA; two papers in preparation for publication; four years of research experience in CMT. Most likely will not be attending.,1,1.0,1.0,1
679,Penn State (Pennsylvania State University),"""Physics"" Hep-th",PhD (F18),Rejected, E-mail,3 Apr 2018,3.78,154.0,170.0,4.5,810.0,I,3 Apr 2018,"Finally an end to the waiting ......... 2.5 years research, 2 high energy phy and two nonlinear dynamics projects (one ongoing), one international project, no publications, background Mechanical Engineering.",0,0.0,1.0,0
680,(Arizona State University) ASU,"""Physics""",PhD (F18),Accepted, E-mail,28 Mar 2018,3.25,156.0,162.0,4.0,710.0,A,30 Mar 2018,,1,0.0,0.0,1
682,Cornell,Applied Physics,PhD (F18),Rejected, E-mail,28 Mar 2018,3.67,163.0,162.0,4.5,690.0,A,29 Mar 2018,"experiment, no pubs, 2 years research",1,0.0,1.0,0
683,"""University Of Washington (Seattle)","""Physics""",PhD (F18),Rejected, E-mail,20 Mar 2018,3.56,155.0,164.0,4.5,860.0,A,28 Mar 2018,nucl-th,1,0.0,0.0,0
684,Ohio State University (OSU),"""Physics""",PhD (F18),Wait listed, E-mail,21 Mar 2018,3.56,155.0,164.0,4.5,860.0,A,28 Mar 2018,nucl-th,1,0.0,0.0,0
685,The University Of Notre Dame,"""Physics""",PhD (F18),Wait listed, E-mail,28 Mar 2018,3.56,155.0,164.0,4.5,860.0,A,28 Mar 2018,nucl-th,1,0.0,0.0,0
687,Cornell  University,Applied And Engineering Physics,PhD (F18),Rejected, E-mail,28 Mar 2018,4.0,160.0,170.0,4.0,810.0,A,28 Mar 2018,,1,0.0,0.0,0
688,University Of Wisconsin - Madison,"""Physics""",PhD (F18),Rejected, E-mail,28 Mar 2018,3.1,164.0,168.0,4.5,960.0,I,28 Mar 2018,"Well, that went well.",0,0.0,0.0,0
690,The University Of South Carolina,"""Physics""",PhD (F18),Rejected, E-mail,28 Mar 2018,3.5,150.0,161.0,3.5,760.0,I,28 Mar 2018,I don't know what they want.,0,0.0,0.0,0
691,Kent Sate University,"""Physics""",PhD (F18),Accepted, E-mail,19 Feb 2018,3.89,159.0,163.0,5.0,630.0,A,28 Mar 2018,I will be declining this offer for another University. Good luck to anyone on a wait list!,1,0.0,0.0,1
694,The University Of Pennsylvania,"""Physics""",PhD (F18),Rejected, E-mail,26 Mar 2018,3.1,164.0,168.0,4.5,960.0,I,26 Mar 2018,"I asked them by mail and a week later, I got a reply. Why did I apply here? My CG is absolute garbage. *sigh*",0,0.0,0.0,0
695,Colorado State University (CSU),Physics,PhD (F18),Accepted, E-mail,21 Mar 2018,3.92,159.0,168.0,4.0,920.0,A,24 Mar 2018,"Condensed matter (theory), very excited !",1,0.0,0.0,1
696,The University Of Iowa,Physics & Astronomy,PhD (F18),Wait listed, E-mail,24 Mar 2018,3.97,150.0,157.0,3.5,700.0,I,24 Mar 2018,Waitlisted via email.,0,0.0,0.0,0
697,The University Of California Irvine (UCI),Physics,PhD (F18),Accepted, E-mail,23 Mar 2018,3.65,151.0,165.0,3.0,670.0,A,23 Mar 2018,"Math and Physics double major, 3.75 PGPA. 2 papers, and a 4 years of research. There is a reason for a low PGRE",1,1.0,1.0,1
698,The University Of California Irvine (UCI),Physics,PhD (F18),Rejected, E-mail,23 Mar 2018,3.5,154.0,170.0,4.0,970.0,I,23 Mar 2018,So sad,0,0.0,0.0,0
699,The University Of Southern California (USC),Physics,PhD (F18),Rejected, E-mail,22 Mar 2018,3.65,170.0,168.0,5.0,810.0,A,23 Mar 2018,"Quantum info/CMT/biophysics.  3.65 GPA at a top school, 3 years undergraduate research, 3 strong LoR, 1 publication on arXiv and under review.  Not sure what went wrong, but okay.  Fine.  You do you, USC.",1,1.0,1.0,0
700,Kent State University,"""Physics""",PhD (F18),Rejected, E-mail,23 Mar 2018,3.5,150.0,161.0,3.5,760.0,I,23 Mar 2018,Rejected via mail upon inquiry.,0,0.0,0.0,0
701,The University Of Southern California (USC),"""Physics"" Hep-th",PhD (F18),Rejected, E-mail,23 Mar 2018,3.78,154.0,170.0,4.5,870.0,I,23 Mar 2018,"Rejected from almost all places! Though I come from Engg background, but still, what the....!",0,0.0,0.0,0
702,The University Of Southern California (USC),Physics,PhD (F18),Rejected, E-mail,23 Mar 2018,3.65,151.0,166.0,3.0,700.0,A,23 Mar 2018,"Math and physics double major, 3.75 PGPA. Two publication. I don't know how I got rejected from them, I got better offers but what the.",1,1.0,0.0,0
703,The University Of Southern California (USC),"""Physics""",PhD (F18),Rejected, E-mail,23 Mar 2018,3.8,148.0,168.0,3.5,900.0,I,23 Mar 2018,,0,0.0,0.0,0
704,UMass Amherst / University Of Massachusetts Amherst,"""Physics""",PhD (F18),Rejected, Website,22 Mar 2018,3.55,150.0,158.0,3.5,670.0,I,22 Mar 2018,"1 elsevier paper, not even being in the waitlist! 
Idn how should I be a good professor assisstant in a university while I would finish my PhD in a low rank uni???? I  depressed! I cannot see a Ph stud from montana state uni or case western uni be a professor in a ranked uni! I should have be married and birth children rather than researching! Phd university is very important and i missed it",0,1.0,1.0,0
705,Wesleyan University,Physics,PhD (F18),Accepted, E-mail,16 Mar 2018,3.55,150.0,158.0,3.5,670.0,I,22 Mar 2018,"2,755 per month! Is it too high for Connecticut? Idont have an Idea about it! Also they have chosen my mentor!",0,0.0,0.0,1
706,The University Of South Carolina,PHYSICS,PhD (F18),Accepted, E-mail,21 Mar 2018,3.55,150.0,158.0,3.5,670.0,I,22 Mar 2018,,0,0.0,0.0,1
707,The University Of Arizona,"""Physics""",PhD (F18),Rejected, E-mail,22 Mar 2018,3.52,146.0,149.0,4.5,570.0,A,22 Mar 2018,"3.765 MS in physics GPA, 2 publications in the works. Already have been accepted to other schools so not worried at all about any more rejections.",1,1.0,0.0,0
709,CMU,Physics,PhD (F18),Rejected, E-mail,21 Mar 2018,3.71,169.0,151.0,3.0,910.0,U,21 Mar 2018,,0,0.0,0.0,0
711,"""University Of Washington (Seattle)","""Physics""",PhD (F18),Rejected, E-mail,21 Mar 2018,3.1,164.0,168.0,4.5,960.0,I,21 Mar 2018,No Publications. Masters' Thesis and Undergrad Thesis only significant research work. Expected. Some dreams are too dreamy to be real,0,1.0,1.0,0
713,"University Of Louisville, KY","""Physics""",PhD (F18),Accepted, E-mail,17 Mar 2018,3.17,148.0,166.0,3.0,620.0,I,21 Mar 2018,had 1 publication good recommendation and 1 semester result of MS in renewable energy(3.95),0,1.0,0.0,1
714,(University Of Virginia) UVA,"""Physics"" Hep-th",PhD (F18),Rejected, E-mail,21 Mar 2018,3.04,154.0,168.0,4.0,940.0,I,21 Mar 2018,"M.S. -3.60, 1 publication in PRE Rapid Communication",0,1.0,0.0,0
715,(University Of Virginia) UVA,"""Physics""",PhD (F18),Rejected, E-mail,21 Mar 2018,3.39,149.0,161.0,3.5,910.0,I,21 Mar 2018,Emailed to check the website.,0,0.0,0.0,0
716,"""University Of Washington (Seattle)","""Physics"" Hep-th",PhD (F18),Rejected, E-mail,21 Mar 2018,3.04,154.0,168.0,4.0,940.0,I,21 Mar 2018,"M.S. -3.60, 1 publication in PRE Rapid Communication",0,1.0,0.0,0
717,University Of Washington (Seattle),"""Physics"" Hep-th",PhD (F18),Rejected, E-mail,20 Mar 2018,4.0,166.0,164.0,4.5,890.0,A,21 Mar 2018,"finally heard back. two publications in nuclear theory, and research experience in particle cosmology. at this point was expecting rejection but i don't understand why it takes so long to make these decisions!!",1,1.0,1.0,0
718,"""University Of Washington (Seattle)","""Physics"" Hep-th",PhD (F18),Rejected, E-mail,20 Mar 2018,3.95,167.0,163.0,4.0,910.0,A,21 Mar 2018,Generic rejection email.,1,0.0,0.0,0
719,JHU (Johns Hopkins University),Physics & Astronomy,PhD (F18),Wait listed, E-mail,19 Mar 2018,3.7,156.0,165.0,3.5,880.0,I,20 Mar 2018,Applied for astro program.,0,0.0,0.0,0
721,The University Of Illinois Urbana-Champaign,"""Physics"" Hep-th",PhD (F18),Rejected, E-mail,19 Mar 2018,3.95,163.0,167.0,4.0,910.0,A,19 Mar 2018,Generic rejection email.,1,0.0,0.0,0
724,University Of California Merced,Physics,PhD (F18),Accepted, E-mail,14 Mar 2018,3.5,150.0,161.0,3.5,760.0,I,18 Mar 2018,"Going there. Finally accepted. 2 papers, one in a local journal and another in a national journal. 2 yr long high quality teaching experience. TOEFL (ibt): R=29, L=26, S=24, W=27. Congratulations to all the accepted students and best of luck to those on the waitlist. Cheer !!!",0,1.0,0.0,1
725,University Of California San Diego (UCSD),Physics,PhD (F18),Rejected, E-mail,17 Mar 2018,3.5,154.0,170.0,4.0,970.0,I,17 Mar 2018,Another rej :(,0,0.0,0.0,0
726,"UCSD (University Of California, San Diego)",Physics,PhD (F18),Rejected, E-mail,17 Mar 2018,3.78,160.0,164.0,4.5,610.0,A,17 Mar 2018,"One of their famous 3:00am decision emails. Applied for plasma physics research. Was hoping to live in a colder climate, anyway! Congrats to everyone who was admitted this season.",1,0.0,1.0,0
727,"UCSD (University Of California, San Diego)","""Physics""",PhD (F18),Rejected, E-mail,17 Mar 2018,3.71,144.0,163.0,3.5,830.0,I,17 Mar 2018,,0,0.0,0.0,0
728,University Of Pittsburgh,"""Physics""",PhD (F18),Wait listed, E-mail,16 Mar 2018,3.39,149.0,161.0,3.5,910.0,I,17 Mar 2018,"E-mailed to check website. Among 5 schools 2 accepted, 2 rejected & now 1 wait-listed! Still waiting for another 5!!!",0,0.0,0.0,0
729,The University Of Iowa,Physics & Astronomy,PhD (F18),Wait listed, Other,16 Mar 2018,3.97,150.0,157.0,3.5,700.0,I,16 Mar 2018,Wait listed upon enquiring by email.,0,0.0,0.0,0
730,University Of Texas At Dallas,"""Physics""",PhD (F18),Accepted, E-mail,20 Feb 2018,3.3,158.0,157.0,3.5,750.0,I,16 Mar 2018,"Did 2 summer Projects, 2 six months projects, Attended two advanced Courses on Cosmology outside institute and MS thesis was in Functional Renormalization in Quantum Field Theory.",0,0.0,0.0,1
731,University Of Pittsburgh,"""Physics"" Hep-th",PhD (F18),Wait listed, Website,16 Mar 2018,3.04,154.0,168.0,4.0,940.0,I,16 Mar 2018,"Those who have better offer and don't plan to go here, please reject.",0,0.0,0.0,0
732,UC Merced,"""Physics""",PhD (F18),Accepted, E-mail,14 Mar 2018,3.4,160.0,163.0,3.0,830.0,I,16 Mar 2018,,0,0.0,0.0,1
733,University Of Texas At Austin (UT Austin),Physics,PhD (F18),Accepted, Website,15 Mar 2018,3.67,163.0,162.0,4.5,690.0,A,16 Mar 2018,"invited and attended open house, experiment",1,0.0,0.0,1
734,âBoston University,"""Physics"" Hep-th",PhD (F18),Wait listed, E-mail,15 Mar 2018,3.95,163.0,167.0,4.0,910.0,A,16 Mar 2018,I did not reach out to the department. They emailed on their own accord.,1,0.0,0.0,0
735,University Of Rochester,"""Physics""",PhD (F18),Rejected, E-mail,15 Mar 2018,3.71,161.0,161.0,4.5,720.0,A,15 Mar 2018,email to check website,1,0.0,0.0,0
736,Michigan State  University (MSU),"""Physics""",PhD (F18),Accepted, E-mail,15 Mar 2018,3.4,154.0,170.0,4.5,970.0,I,15 Mar 2018,Called yesterday to hear a rejection. But accepted by email today.,0,0.0,0.0,1
740,The University Of Pennsylvania,"""Physics""",PhD (F18),Rejected, E-mail,14 Mar 2018,3.62,162.0,165.0,5.0,760.0,A,15 Mar 2018,,1,0.0,0.0,0
741,Virginia Polytechnic And State University (Virginia Tech),Condensed Matter Physics,PhD (F18),Accepted, E-mail,16 Feb 2018,3.14,150.0,160.0,3.0,920.0,I,15 Mar 2018,Full funded offer,0,0.0,0.0,1
742,Northwestern University,Physics & Astronomy,PhD (F18),Wait listed, E-mail,13 Mar 2018,3.2,153.0,167.0,3.0,850.0,I,15 Mar 2018,Email to know that I am waitlisted. I really want to get into their Astronomy program. Please decline their offer as soon as possible if you're not planning to attend and have better offers.Thank You!,0,0.0,0.0,0
745,(Arizona State University) ASU Tempe,"""Physics""",PhD (F18),Accepted, E-mail,9 Feb 2018,3.41,164.0,170.0,4.0,700.0,A,13 Mar 2018,,1,0.0,0.0,1
746,The University Of Connecticut (UCONN),"""Physics""",PhD (F18),Accepted, E-mail,9 Feb 2018,3.41,170.0,164.0,4.0,700.0,A,13 Mar 2018,,1,0.0,0.0,1
747,The University Of New Mexico (UNM),"""Physics""",PhD (F18),Accepted, E-mail,25 Jan 2018,3.41,170.0,164.0,4.0,700.0,A,13 Mar 2018,,1,0.0,0.0,1
748,Carnegie  Mellon University (CMU),"""Physics""",PhD (F18),Rejected, E-mail,12 Mar 2018,3.65,158.0,162.0,4.0,670.0,A,13 Mar 2018,"CME. 2.5 years research, 1 REU, no papers.",1,0.0,1.0,0
750,University Of Texas At Austin (UT Austin),Physics,PhD (F18),Accepted, Website,12 Mar 2018,3.96,168.0,154.0,3.0,990.0,I,12 Mar 2018,"TA assistant $27000 (5 years) offered, Condensed matter experiment.",0,0.0,0.0,1
752,Colorado State University,"""Physics""",PhD (F18),Rejected, E-mail,12 Mar 2018,3.52,146.0,149.0,4.5,570.0,A,12 Mar 2018,"""Despite the merits of your application, we have a limited number of positions and we were not able to provide offers to many applicants. The admissions process was very competitive.""",1,0.0,0.0,0
754,à¸µà¸·University Of Central Florida,"""Physics""",PhD (F18),Rejected, Website,9 Mar 2018,3.3,168.0,164.0,5.0,780.0,A,10 Mar 2018,"Randomly checked website at 9pm(est) on 3/9. Status says ""not admitted"". Good luck to everyone still waiting!",1,0.0,0.0,0
755,"The University Of Colorado, Boulder","""Physics"" Hep-th",PhD (F18),Rejected, Website,9 Mar 2018,3.04,154.0,168.0,4.0,940.0,I,9 Mar 2018,"M.S. 3.60, 1 publication in PRE -Rapid Communication, email to check website",0,1.0,0.0,0
757,"The University Of Colorado, Boulder",Physics,PhD (F18),Rejected, E-mail,8 Mar 2018,3.6,169.0,168.0,5.0,990.0,A,8 Mar 2018,"CMT. 4 years research. One arxiv CMT, one submitted biophysics. Finally done with this season!! 5/14 offers is definitely not bad. Each rejection really hurts though",1,0.0,1.0,0
760,"The University Of Colorado, Boulder","""Physics""",PhD (F18),Rejected, E-mail,8 Mar 2018,3.97,162.0,169.0,4.0,960.0,A,8 Mar 2018,yikes,1,0.0,0.0,0
761,"The University Of Colorado, Boulder",Physics,PhD (F18),Rejected, E-mail,8 Mar 2018,3.3,158.0,163.0,3.5,700.0,A,8 Mar 2018,4/4 ughhh,1,0.0,0.0,0
762,"The University Of Colorado, Boulder","""Physics""",PhD (F18),Rejected, Website,8 Mar 2018,3.97,159.0,157.0,4.0,970.0,U,8 Mar 2018,Emailed dept. for status. They updated website.,0,0.0,0.0,0
764,"The University Of Colorado, Boulder",Physics,PhD (F18),Rejected, E-mail,8 Mar 2018,3.65,170.0,168.0,5.0,810.0,A,8 Mar 2018,"CMT/quantum information theory.  3.6 GPA at a top school, 3 years undergrad research, 1 first author publication in submission, 3 strong LoR.  Kinda expected at this point but still stings.",1,1.0,1.0,0
765,UC Davis,"""Physics"" Hep-th",PhD (F18),Rejected, Website,8 Mar 2018,3.04,154.0,168.0,4.0,940.0,I,8 Mar 2018,"M.S. 3.60, 1 publication - PRE Rapid Communication",0,1.0,0.0,0
766,UC Davis,Physics,PhD (F18),Rejected, E-mail,8 Mar 2018,3.65,151.0,166.0,3.0,700.0,A,8 Mar 2018,"Double major Math and Physics, PGPA 3.75 MGPA 3.65, one publication and one in the working. Award for the best research in my department. Applied for CME and they said "" no major professor is available"". I got into way better places but this is like a slap in the face.",1,1.0,1.0,0
767,(University Of California Davisrnia Davis,"""Physics"" Hep-th",PhD (F18),Rejected, Website,8 Mar 2018,3.97,145.0,164.0,3.0,810.0,I,8 Mar 2018,Reason: No major professor is available for the specialization proposed by the applicant. 1 internship at DESY and 1 paper from there,0,1.0,0.0,0
769,à¸µUniversity Of Maryland - College Park (UMD),"""Physics"" Hep-th",PhD (F18),Wait listed, E-mail,13 Feb 2018,3.75,161.0,162.0,4.0,960.0,I,8 Mar 2018,"Please, reject your offers if you have better options. You are my only hope. 6 cold rejections from other places...",0,0.0,0.0,0
770,(CUNY) Graduate Center,"""Physics"" Hep-th",PhD (F18),Other, Other,8 Mar 2018,3.7,156.0,165.0,4.0,710.0,I,8 Mar 2018,"To the poster below asking about Cuny. They sent me an email this morning. But I've been in contact with them for about a week asking about my application status. Have you been interviewed as well? What's your research field? What are your credentials (GPA, GREs, International/Domestic)?",0,0.0,1.0,0
771,California Institue Of Technology (Caltech),"""Physics""",PhD (F18),Rejected, E-mail,8 Mar 2018,4.0,160.0,169.0,4.0,950.0,I,8 Mar 2018,,0,0.0,0.0,0
772,(CUNY) Graduate Centery,"""Physics"" Hep-th",PhD (F18),Wait listed, E-mail,8 Mar 2018,3.7,156.0,165.0,4.0,710.0,I,8 Mar 2018,"MS gpa 3.8. If anybody has been accepted by Cuny, and doesn't plan to attend, pls mention it here! I really want to go to Cuny :(",0,0.0,0.0,0
773,California Institue Of Technology (Caltech),"""Physics""",PhD (F18),Rejected, E-mail,7 Mar 2018,3.5,154.0,170.0,4.0,970.0,I,8 Mar 2018,,0,0.0,0.0,0
775,California Institute Of Technology ( Caltech ),Physics,PhD (F18),Rejected, E-mail,8 Mar 2018,3.85,163.0,162.0,5.0,970.0,A,8 Mar 2018,"CMT/QIT. 3 months hep-ex and 1 year QIT research. Not surprised, especially given my quant score. Good luck to everyone who attends!",1,0.0,1.0,0
776,California Institue Of Technology (Caltech),"""Physics""",PhD (F18),Rejected, E-mail,8 Mar 2018,3.73,153.0,170.0,4.0,970.0,I,8 Mar 2018,"Quantum info., 3.5 years research, 2 publications",0,1.0,1.0,0
781,Caltech,Physics,PhD (F18),Rejected, E-mail,8 Mar 2018,3.6,169.0,168.0,5.0,990.0,A,8 Mar 2018,Caltech undergrad. I GUESS THIS MEANS I'M FINALLY FREE OF THIS PLACE!!! (but I'll miss it so much :( ),1,0.0,0.0,0
782,California Institue Of Technology (Caltech),"""Physics""",PhD (F18),Rejected, E-mail,8 Mar 2018,3.9,159.0,170.0,5.0,930.0,A,8 Mar 2018,"Generic rejection email. 3 years research (+2 summers), 1 publication, 1 in preparation. MIT undergrad. Looks like I've been rejected from every PhD program I applied to.",1,1.0,1.0,0
787,New York University,Physics,PhD (F18),Rejected, E-mail,7 Mar 2018,4.0,167.0,170.0,4.5,990.0,I,7 Mar 2018,Condensed Matter Theory /Experiment. Email to check website. It was a safety school. Got in first choices anyway.,0,0.0,0.0,0
788,Illinois At Urbana-Champaign (UIUC),"""Physics""",PhD (F18),Rejected, E-mail,6 Mar 2018,3.76,156.0,167.0,3.5,960.0,U,6 Mar 2018,"4 rejects, 0 admits. :(",0,0.0,0.0,0
789,Illinois Urbana Champaign (UIUC),"""Physics"" Hep-th",PhD (F18),Rejected, E-mail,6 Mar 2018,3.04,154.0,168.0,4.0,940.0,I,6 Mar 2018,"M.S. 3.60, 1 publication PRE- Rapid Communication",0,1.0,0.0,0
790,Illinois At Urbana Champaign (UIUC),"""Physics""",PhD (F18),Rejected, E-mail,6 Mar 2018,3.7,163.0,170.0,4.0,990.0,I,6 Mar 2018,Generic 'we don't want you' email,0,0.0,0.0,0
791,Illinois At Urbana Champaign (UIUC),"""Physics""",PhD (F18),Rejected, E-mail,6 Mar 2018,3.4,156.0,162.0,4.0,910.0,U,6 Mar 2018,,0,0.0,0.0,0
792,Emory (Laney Graduate School),"""Physics""",PhD (F18),Other, E-mail,23 Feb 2018,2.85,160.0,166.0,3.0,830.0,I,6 Mar 2018,"To the post below enquiring about the interview, I was interviewed by a professor on 02/02/2018.",0,0.0,0.0,0
793,à¥Emory University,"""Physics""",PhD (F18),Accepted, E-mail,23 Feb 2018,2.85,160.0,166.0,3.0,840.0,I,6 Mar 2018,,0,0.0,0.0,1
794,Ohio State (OSU),"""Physics""",PhD (F18),Rejected, E-mail,5 Mar 2018,3.97,159.0,157.0,4.0,970.0,U,6 Mar 2018,wut,0,0.0,0.0,0
795,Brown University,"""Physics""",PhD (F18),Rejected, E-mail,5 Mar 2018,3.0,160.0,170.0,3.0,960.0,I,5 Mar 2018,6/6 rejections. Hanging on to the last thread now.,0,0.0,0.0,0
796,New York University ( NYU ),"""Physics""",PhD (F18),Rejected, Website,5 Mar 2018,3.05,161.0,168.0,4.5,910.0,I,5 Mar 2018,,0,0.0,0.0,0
797,Oklahoma State University (OSU),"""Physics""",PhD (F18),Rejected, E-mail,5 Mar 2018,3.39,149.0,161.0,3.5,910.0,I,5 Mar 2018,,0,0.0,0.0,0
798,Oklahoma State University (OSU),"""Physics""",PhD (F18),Rejected, E-mail,5 Mar 2018,3.39,149.0,161.0,3.5,910.0,I,5 Mar 2018,,0,0.0,0.0,0
803,TAMU (Texas A & M University) College Station,"""Physics""",PhD (F18),Accepted, E-mail,3 Mar 2018,3.05,161.0,168.0,4.5,910.0,I,3 Mar 2018,"Area of interest:hep, 1 astro publication. 1 year Research.",0,1.0,1.0,1
804,Purdue University,"""Physics""  Hep-ex",PhD (F18),Rejected, E-mail,3 Mar 2018,3.8,152.0,158.0,4.0,820.0,I,3 Mar 2018,,0,0.0,0.0,0
805,"Alabama, Tuscaloosa",Physics,PhD (F18),Accepted, E-mail,3 Feb 2018,3.39,149.0,161.0,3.5,910.0,U,3 Mar 2018,"Second acceptance, Funding is coming....The Professors interviewed about two months ago.",0,0.0,0.0,1
806,Georgia Insititute Of Technology,"""Physics""",PhD (F18),Rejected, Website,1 Mar 2018,3.62,162.0,165.0,5.0,760.0,A,2 Mar 2018,hmmm...i expected  to get in here,1,0.0,0.0,0
807,Colorado State University (CSU),Physics,PhD (F18),Rejected, E-mail,2 Mar 2018,3.3,159.0,160.0,4.0,520.0,A,2 Mar 2018,"Rejected via email when requesting a status update. 3 years research experience, LOR from Nobel Laureate, 1 undergrad REU.",1,0.0,1.0,0
809,Brown Univerisity,"""Physics"" Hep-th",PhD (F18),Rejected, E-mail,2 Mar 2018,3.04,154.0,168.0,4.0,940.0,I,2 Mar 2018,"M.S. -3.60, 1 publication in PRE -Rapid Communication.",0,1.0,0.0,0
